SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
English,English,Foundation,AC9EFASC01,"By the end of Foundation, students listen to texts, interact with others and create short spoken texts, including retelling stories.","Language,Literature,Literacy"," listen,interact,create,retelling","AC9EFLA01,AC9EFLE05,AC9EFLY05",High
English,English,Foundation,AC9EFASC02,"They share thoughts and preferences, retell events and report information or key ideas to an audience. ","Language,Language,Literature,Literacy,Literacy","thoughts, preferences,retell,report,key ideas,audience","AC9EFLA02,AC9EFLE01,AC9EFLE02,AC9EFLY02,AC9EFLY07",High
English,English,Foundation,AC9EFASC03,They use language features including words and phrases from learning and texts.,"Language,Language,Literature,Literacy","language features,words and phrases","AC9EFLA02,AC9EFLA08,AC9EFLE04,AC9EFLY09",High
English,English,Foundation,AC9EFASC04,"They listen for and identify rhymes, letter patterns and sounds (phonemes) in words.","Literature,Literacy","listen,identify,rhymes,letter patterns,sounds (phonemes)","AC9EFLE04,AC9EFLY09",High
English,English,Foundation,AC9EFASC05,They orally blend and segment phonemes in single-syllable words.,Literacy,"orally,blend,segment phonemes,single syllable",AC9EFLY10,High
English,English,Foundation,AC9EFASC06,"They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences.","Language,Language,Literature,Literature,Literature,Literacy,Literacy,Literacy,Literacy","read,view,comprehend,connections","AC9EFLA07,AC9EFLA08,AC9EFLE01,AC9EFLE02,AC9EFLE03,AC9EFLY01,AC9EFLY03,AC9EFLY04,AC9EFLY05",High
English,English,Foundation,AC9EFASC07,They identify the language features of texts including connections between print and images.,"Language,Language,Language,Language,Language,Language,Language,Literature,Literacy,Literacy","identify,language features","AC9EFLA03,AC9EFLA04,AC9EFLA05,AC9EFLA06,AC9EFLA07,AC9EFLA08,AC9EFLA09,AC9EFLE03,AC9EFLY01,AC9EFLY03",High
English,English,Foundation,AC9EFASC08,They name the letters of the English alphabet and know and use the most common sounds (phonemes) represented by these letters (graphs).,"Literacy,Literacy","letters,alphabet","AC9EFLY11,AC9EFLY13",High
English,English,Foundation,AC9EFASC09,They read words including consonant–vowel–consonant words and some high-frequency words.,"Literacy,Literacy,Literacy",consonant–vowel–consonant words,"AC9EFLY12,AC9EFLY14,AC9EFLY15",High
English,English,Foundation,AC9EFASC10,"They create short written texts, including retelling stories using words and images where appropriate.","Language,Language,Language,Language,Literature,Literacy","texts, retelling stories","AC9EFLA04,AC9EFLA05,AC9EFLA06,AC9EFLA07,AC9EFLE05,AC9EFLY06",High
English,English,Foundation,AC9EFASC11,"They retell, report information and state their thoughts, feelings and key ideas.","Language,Language,Language,Literature,Literature,Literacy",words and phrases,"AC9EFLA05,AC9EFLA06,AC9EFLA07,AC9EFLE02,AC9EFLE05,AC9EFLY06",High
English,English,Foundation,AC9EFASC12,They use words and phrases from learning and texts.,"Language,Literacy",learning and texts,"AC9EFLA08,AC9EFLY06",High
English,English,Foundation,AC9EFASC13,"They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops.","Language,Literacy","form letters,experiment ","AC9EFLA09,AC9EFLY06,AC9EFLY08",High
